Organization Name,Organization Name URL,Estimated Revenue Range,Industries,CB Rank (Company),Description,Operating Status,Founded Date,Company Type,Exit Date,Twitter,Number of Articles,Hub Tags,Number of Lead Investments,LinkedIn,Actively Hiring,Facebook,Investor Type,Number of Sub-Orgs,Contact Email,Investment Stage,Number of Investments,Headquarters Location,Phone Number,Full Description,Number of Exits (IPO),Website,Number of Portfolio Organizations,Industry Groups,Number of Exits,Last Funding Type,Number of Employees,Funding Status,Number of Founders,Last Funding Date,Last Equity Funding Type,Number of Funding Rounds,Valuation at IPO (in USD),Last Funding Amount (in USD),Last Equity Funding Amount (in USD),Total Equity Funding Amount (in USD),Total Funding Amount (in USD),Acquisition Status,Number of Lead Investors,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Type,Price (in USD),Announced Date,Money Raised at IPO (in USD),IPO Status,Last Layoff Mention Date,Growth Category,Last Leadership Hiring Date,IPO Date,Numerical Revenue Range,IPO Date - Founded Date,Exit Date - Founding Date,IPO Date - Last_Funding_Date,Valuation_at_IPO / Last_Funding,Valuation_at_IPO_per_Last_Equity_Funding,Valuation_at_IPO / Total_Funding,Valuation_at_IPO / Total_Equity_Funding,Money_Raised_at_IPO / Last_Funding,Money_Raised_at_IPO / Last_Equity_Funding,Money_Raised_at_IPO / Total_Funding,Money_Raised_at_IPO / Total_Equity_Funding,Total funding amount / number of employees,Numeric revenue range / number of employees,Last funding amount / number of employees,Last funding amount / ( ipo - founded date ),Total funding amount / (ipo - founded date),Number of funding rounds / (ipo - founde date),Numeric revenue amount / total number of employees * (IPO - founded date),ind_update,narrowed_industry,Predicted IPO Status,success
Truecaller,https://www.crunchbase.com/organization/true-software-scandinavia,$1M to $10M,"Apps, Contact Management, Mobile, Mobile Apps, Search Engine",14373,Truecaller is a mobile app that lets you see who's calling and block unwanted calls.,Active,2009,For Profit,2021,http://twitter.com/truecaller,669,,,http://www.linkedin.com/company/true-software-scandinavia-ab,,http://www.facebook.com/Truecaller,,,info@truecaller.com,,1,"Stockholm, Stockholms Lan, Sweden",,"Truecaller makes your mobile environment smarter by allowing you to connect with who you want, when you want. Truecaller enables you to expand your contact list and reach people you want to find; helps you more easily identify who is calling your cell phone; and protects your mobile identity from unwanted spammers.https://only4usupport.blogspot.com/2019/05/truecaller-benefits-or-loss.html",,https://www.truecaller.com/,1,"Apps, Information Technology, Internet Services, Mobile, Software",,Secondary Market,76,IPO,2,2021,Venture - Series Unknown,10,2500237554,,5579236,101157071,101157071,Made Acquisitions,5,,,3,,,,114483935,1,,,2022,2021,5500000,12,12,0,,448.1326035,24.71638937,24.71638937,,20.51964373,1.131744265,1.131744265,1331014.092,72368.42105,,,8429755.917,0.833333333,6030.701754,"Mobile, Mobile Apps, Search Engine",Technology & Software,1,yes
Valens Semiconductor,https://www.crunchbase.com/organization/valens-semiconductor,$50M to $100M,"Computer, Intelligent Systems, Semiconductor",8996,Valens Semiconductor is a fabless chip company providing semiconductor products for the distribution of uncompressed HD multimedia content.,Active,2006,For Profit,2021,https://twitter.com/ValensAuto,81,,,https://www.linkedin.com/company/valens/,,https://www.facebook.com/ValensSemiconductor/,,,info@valens-semi.com,,,"Hod Hasharon, HaMerkaz, Israel",+972 503 619 0337,"Valens Semiconductor is a fabless chip company that provides semiconductor products for the distribution of uncompressed high-definition multimedia content.  It offers chips that transmit and receive uncompressed hd video, audio, Internet, power, and control signals. Its products are used in homes, offices, hotels, airports, and other public places. It is an innovative automotive supplier of in-vehicle connectivity solutions.",,http://www.valens.com,,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Science and Engineering",,Post-IPO Equity,176,M&A,3,2021,Post-IPO Equity,7,1100000000,125000000,125000000,289000000,289000000,"Made Acquisitions, Was Acquired",7,PTK Technologies,https://www.crunchbase.com/organization/ptk-technologies,1,Acquisition,1200000,2021,155000000,1,2023,Growing,2023,2021,75000000,15,15,0,8.8,8.8,3.806228374,3.806228374,1.24,1.24,0.53633218,0.53633218,1642045.455,426136.3636,710227.2727,8333333.333,19266666.67,0.466666667,28409.09091,"Computer, Intelligent Systems, Semiconductor",Technology & Software,1,yes
AppNexus,https://www.crunchbase.com/organization/appnexus,$100M to $500M,"Ad Network, Advertising, E-Commerce, Internet, SaaS, Software",4100,AppNexus operates a cloud-based software platform that enables and optimizes programmatic online advertising.,Closed,2007,For Profit,2018,http://twitter.com/AppNexus,1192,"Exited Unicorn, Pledge 1%",,http://www.linkedin.com/company/appnexus,,http://www.facebook.com/AppNexus,,,info@appnexus.com,,,"New York, New York, United States",646-723-7844,"AppNexus operates a cloud-based software platform that enables and optimizes programmatic online advertising. Its enterprise technology platform maximizes yield and campaign performance for sellers and buyers of online inventory, provides trading solutions and marketplaces for Internet advertising, and allows advertisers to build a trading desk, an advertising network, and a custom exchange.  AppNexus also provides a digital advertising delivery platform that enables publisher clients to maximize revenue across various demand sources, AppNexus Publisher Suite that powers advertisement serving, planning and forecasting, diverse marketplace sales, and direct campaign management solutions, PriceCheck, a header bidding solution for banner, video, and interstitial advertising units, and AppNexus Apps program, an application platform for third-party technology vendors and existing customers to build features for their own clients and reach new audiences.  Brian O'Kelley and Mike Nolet founded AppNexus in September 2007, with its headquarters in New York City and additional offices in several cities in the United States and other countries.",,https://appnexus.com/,,"Advertising, Commerce and Shopping, Internet Services, Sales and Marketing, Software",,Secondary Market,3001,M&A,2,2018,Venture - Series Unknown,14,,,,321471856,321471856,"Made Acquisitions, Was Acquired",6,AT&T,https://www.crunchbase.com/organization/at-t,4,Acquisition,1600000000,2018,,0,,,,,300000000,,11,,,,,,,,,,107121.5781,99966.67777,,,,,,"Software, Advertising, SaaS",Technology & Software,0,no
Box,https://www.crunchbase.com/organization/box,$500M to $1B,"Cloud Computing, Enterprise Software, File Sharing, Flash Storage, Web Hosting",325,"Box is an online file sharing and cloud content management service offering unlimited storage, custom branding, and administrative controls.",Active,2005,For Profit,2015,https://twitter.com/box,5457,"Exited Unicorn, Pledge 1%",,https://www.linkedin.com/company/box,,http://www.facebook.com/box,,,sales@box.com,,1,"Redwood City, California, United States",1(877) 729-4269,"Box is an online file sharing and cloud content management service offering unlimited storage, custom branding, and administrative controls. Box provides more than 8 million users with secure cloud content management and collaboration. Box platform ""allows personal and commercial content to be accessible, sharable, and storable in any format from anywhere."" It also helps businesses of all sizes in every industry securely access and manages their critical information in the cloud.",1,http://www.box.com,1,"Hardware, Internet Services, Software",1,Post-IPO Equity,3001,IPO,4,2021,Post-IPO Equity,14,1670000000,500000000,500000000,1058950000,1058950000,Made Acquisitions,8,,,15,,,,175000000,1,,,2023,2015,750000000,10,10,-6,3.34,3.34,1.577033854,1.577033854,0.35,0.35,0.165258039,0.165258039,352865.7114,249916.6944,166611.1296,50000000,105895000,1.4,24991.66944,"File Sharing, Flash Storage, Cloud Computing",Technology & Software,1,yes
Adevinta,https://www.crunchbase.com/organization/adevinta,$1M to $10M,"Classifieds, Information Technology, Marketplace",2311,Adevinta is a digital marketplace that provides online classifieds services.,Active,2019,For Profit,2019,https://twitter.com/Adevinta,96,,,https://www.linkedin.com/company/adevinta/,,https://www.facebook.com/Adevinta-Corp-1617263885040416/,,1,,,,"Oslo, Oslo, Norway",+47 22 86 44 10,"Adevinta is a marketplace specialist. They help their local digital marketplaces thrive through global connections and networks of knowledge. Their marketplaces unlock the full value in every person, place and thing – helping local communities prosper and leaving a positive footprint on the world.",,https://adevinta.com,,"Commerce and Shopping, Information Technology",,Post-IPO Equity,7501,IPO,1,2021,Post-IPO Equity,1,,2248286568,2248286568,2248286569,2248286569,Made Acquisitions,1,,,1,,,,,1,,Growing,2023,2019,5500000,0,0,-2,,,,,,,,,299731.5783,733.2355686,299731.5782,,,,,"Classifieds, Information Technology, Marketplace",Technology & Software,1,yes
Zuora,https://www.crunchbase.com/organization/zuora,$100M to $500M,"Billing, Developer APIs, Payments, SaaS, Software",366,"Zuora provides cloud-based software on a subscription basis that helps companies launch, manage, and transform into a subscription business.",Active,2007,For Profit,2018,https://twitter.com/Zuora,675,"Exited Unicorn, Pledge 1%",,https://www.linkedin.com/company/zuora,,https://www.facebook.com/zuora,,,info@zuora.com,,,"Redwood City, California, United States",(800) 425-1281,"Zuora provides cloud-based software on a subscription basis that enables companies in various industries to launch, manage, and transform into a subscription business. The firm offers Zuora Central platform that acts as an intelligent subscription management hub that automates the subscription order-to-cash process, including quoting, billing, collections, analytics, and revenue recognition. Its products include Zuora Billing, Zuora RevPro, Zuora CPQ, Zuora Insights, and Zuora Collect. Zuora caters to various industries comprising software, hardware, media, transportation, construction, healthcare, education, retail, Internet of Things, and others worldwide. It was founded in 2007 and headquartered in San Mateo, California.",,https://www.zuora.com,,"Financial Services, Payments, Software",,Post-IPO Equity,3001,IPO,3,2022,Post-IPO Equity,10,1449000000,400000000,400000000,647500000,647500000,Made Acquisitions,10,,,5,,,,154000000,1,2022,Growing,2023,2018,300000000,11,11,-4,3.6225,3.6225,2.237837838,2.237837838,0.385,0.385,0.237837838,0.237837838,215761.4129,99966.67777,133288.9037,36363636.36,58863636.36,0.909090909,9087.879798,"Software, SaaS, Payments",Technology & Software,1,yes
Toast,https://www.crunchbase.com/organization/toast,$1M to $10M,"Delivery, Point of Sale, Restaurants, SaaS, Software",16574,Toast is a point-of-sale and restaurant management platform for businesses in the food service and hospitality space.,Active,2011,For Profit,2021,http://twitter.com/toasttab,249,Exited Unicorn,,https://www.linkedin.com/company/toast-inc,,http://www.facebook.com/toasttab,,,support@toasttab.com,,,"Boston, Massachusetts, United States",(617) 682-0225,"Toast is an all-in-one point-of-sale and restaurant management platform for businesses in the foodservice and hospitality space. As a cloud-based system built specifically for restaurants, Toast offers advanced functionality including tableside ordering, quick menu modifications, real-time enterprise reporting, online ordering, and labor management on an easy-to-use interface. The company powers successful restaurants by combining point of sale, front of house, back of house, and guest-facing technology with an unequaled commitment to customer success. It enables the community of restaurateurs to delight guests and thrive.",,https://pos.toasttab.com,,"Administrative Services, Commerce and Shopping, Food and Beverage, Software",,Secondary Market,3001,IPO,3,2020,Series F,8,19973000000,60000000,400000000,899000000,961950000,Made Acquisitions,9,,,4,,,,869565240,1,2024,,2023,2021,5500000,10,10,1,332.8833333,49.9325,20.76303342,22.21690768,14.492754,2.1739131,0.903960954,0.967258331,320543.1523,1832.722426,19993.33555,6000000,96195000,0.8,183.2722426,"Point of Sale, Software, SaaS",Technology & Software,1,yes
Xcalar,https://www.crunchbase.com/organization/xcalar,$1M to $10M,"Analytics, Big Data, Enterprise Software, SaaS, Software",34021,Xcalar is a business analytics platform to discover meaningful insights from modern data.,Closed,2013,For Profit,,https://twitter.com/xcalarinc,5,,,http://www.linkedin.com/company/xcalar-inc-,,https://www.facebook.com/xcalardata,,,info@xcalar.com,,,"San Jose, California, United States",(408)471-1711,"Xcalar is the first business analytics platform to enable Fundamental Discovery™ of meaningful insights directly from petabytes of raw data. Xcalar uniquely extends relational compute on a scale-out platform for modern data, allowing businesses to discover insights simply not possible otherwise. Xcalar's unprecedented speed, scale, simplicity, and efficiency bring orders of magnitude reduction in the time needed to gain business insights regardless of the size and complexity of the dataset. Xcalar does not require any data prep or data shuffling before it begins analysis, nor does it need to move data due to its patent-pending True Data In Place™ technology. Xcalar delivers the fastest time-to-insight on the market.",,http://www.xcalar.com/,,"Data and Analytics, Software",,Series A,31,Early Stage Venture,4,2017,Series A,4,,21000000,21000000,23387814,23387814,,2,,,,,,,,0,,,,,5500000,,,,,,,,,,,,754445.6129,177419.3548,677419.3548,,,,,"Analytics, Big Data, Software",Technology & Software,0,no
Gambling.com Group,https://www.crunchbase.com/organization/gambling-721e,$10M to $50M,"Advertising, Digital Marketing, Gaming, Internet",15186,"Gambling.com Group is a multi-award winning provider of digital marketing services for the global, regulated online gambling industry.",Active,2006,For Profit,2021,https://twitter.com/gambling_group,57,,,https://www.linkedin.com/company/gambling-com-group,,https://www.facebook.com/gambling.com,,,,,,"Dublin, Dublin, Ireland",+353 1 903 8375,"Gambling.com Group Limited is a multi-award-winning performance marketing company and a leading provider of digital marketing services active exclusively in the online gambling industry, based on December 31, 2020 revenue. As of March 31, 2021, the Group has a workforce of more than 140 and operates from offices in Ireland, the United States and Malta. Through its proprietary technology platform, the Group publishes a portfolio of premier branded websites including Gambling.com and Bookies.com.",,https://www.gambling.com/corporate,,"Advertising, Gaming, Internet Services, Sales and Marketing",,Post-IPO Debt,376,IPO,2,2024,Venture - Series Unknown,3,270448000,50000000,15500000,15500000,110709375,Made Acquisitions,2,,,4,,,,42000000,1,,Growing,2021,2021,30000000,15,15,-3,5.40896,17.44825806,2.442864482,17.44825806,0.84,2.709677419,0.379371666,2.709677419,294439.8271,79787.23404,132978.7234,3333333.333,7380625,0.2,5319.148936,"Digital Marketing, Internet, Gaming",Technology & Software,1,yes
Carbon Robotics,https://www.crunchbase.com/organization/katia,Less than $1M,"Computer Vision, Consumer Electronics, Hardware, Robotics",21170,Carbon Robotics makes advanced robotics dramatically more accessible to help solve some of society's most intractable problems.,Closed,2014,For Profit,,https://twitter.com/carbonrobotics,20,,,https://www.linkedin.com/company/carbon-robotics,,https://www.facebook.com/carbonrobotics/,,,hello@carbon.ai,,,"San Francisco, California, United States",,"Carbon Robotics makes advanced robotics dramatically more accessible to help solve some of society's most intractable problems. Carbon Robotics is bringing advanced robotics to the masses. One of the Top 50 ""most influential public & private companies in the global robotics industry"" by the Robotics Business Review in 2016.",,http://www.carbon.ai,,"Consumer Electronics, Hardware, Science and Engineering, Software",,Series B,31,Early Stage Venture,2,2021,Series B,6,,27000000,27000000,30360354,30360354,,1,,,,,,,,0,,,2023,,500000,,,,,,,,,,,,979366.2581,16129.03226,870967.7419,,,,,"Robotics, Hardware, Consumer Electronics",Technology & Software,0,no
