Organization Name,Organization Name URL,Estimated Revenue Range,Industries,CB Rank (Company),Description,Operating Status,Founded Date,Company Type,Exit Date,Twitter,Number of Articles,Hub Tags,Number of Lead Investments,LinkedIn,Actively Hiring,Facebook,Investor Type,Number of Sub-Orgs,Contact Email,Investment Stage,Headquarters Location,Phone Number,Full Description,Number of Exits (IPO),Website,Industry Groups,Number of Exits,Last Funding Type,Number of Employees,Funding Status,Number of Founders,Last Funding Date,Last Equity Funding Type,Number of Funding Rounds,Valuation at IPO (in USD),Last Funding Amount (in USD),Last Equity Funding Amount (in USD),Total Equity Funding Amount (in USD),Total Funding Amount (in USD),Acquisition Status,Number of Lead Investors,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Type,Money Raised at IPO (in USD),IPO Status,Growth Category,IPO Date,Adjusted Valuation According to Inflation,Numerical Revenue Range,IPO Date - Founded Date,Exit Date - Founding Date,IPO Date - Last_Funding_Date,Valuation_at_IPO / Last_Funding,Valuation_at_IPO_per_Last_Equity_Funding,Valuation_at_IPO / Total_Funding,Valuation_at_IPO / Total_Equity_Funding,Money_Raised_at_IPO / Last_Funding,Money_Raised_at_IPO / Last_Equity_Funding,Money_Raised_at_IPO / Total_Funding,Total funding amount / number of employees,Last funding amount / number of employees,Last funding amount / ( ipo - founded date ),Total funding amount / (ipo - founded date),Number of funding rounds / (ipo - founde date),ind_update,narrowed_industry,success
NerdWallet,https://www.crunchbase.com/organization/nerdwallet,$100M to $500M,"Consumer, Financial Services, Internet, Personal Finance","2,201",NerdWallet develops a financial platform to help people find the right credit cards and mortgage rates.,Active,2009,For Profit,2021,http://twitter.com/NerdWallet,"1,631",,,https://www.linkedin.com/company/nerdwallet,,http://www.facebook.com/nerdwallet,,,press@nerdwallet.com,,"San Francisco, California, United States",,"NerdWallet helps people find the right credit cards and mortgage rates, refinance their student loans. NerdWallet provides consumers with personalized, unbiased advice so they can make smart money moves. From finding the best credit card to buying a house to investing their next dollar, and more, NerdWallet is there to help consumers make financial decisions with confidence. Consumers have free access to our expert content, tools, and tailored advice that help them stay on top of their finances, and save them time and money, giving them the freedom to do more.",,https://www.nerdwallet.com/,"Financial Services, Internet Services, Other",,Secondary Market,751,IPO,2,2021,Series A,6,,,5000000,69000000,105000000,Made Acquisitions,3,,,5,,,Public,Growing,2021,,300000000,12,12,0,,,,,,,,139813.5819,,,8750000,0.5,"Financial Services, Personal Finance, Internet",Financial Services & Fintech,Yes
Compound,https://www.crunchbase.com/organization/compound-labs,Less than $1M,"Blockchain, Cryptocurrency, Decentralized Finance (DeFi), Ethereum, Finance, FinTech","2,403",Compound is an open-source interest rate protocol that unlocks new financial applications.,Active,2017,For Profit,2020,https://twitter.com/compoundfinance,21,,,https://www.linkedin.com/company/compound-labs/,,https://www.facebook.com/0xdd086832d7ea3260c4d1e3810c2e07a6c4762eb7,,,,,"San Francisco, California, United States",312-925-0060,"Compound is an open-source interest rate protocol that unlocks new financial applications for developers. Its protocol is a widely used system built on Ethereum, with thousands of users, and dozens of applications integrating Compound. Compound offers a web interface that adjusts money market interest rates based on asset-specific supply and demand. Compound was founded on 2017 and is headquartered in San Francisco, California.",,https://compound.finance,"Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",,Debt Financing,76,IPO,2,2022,Venture - Series Unknown,4,,37634255,,33200000,70834255,,3,,,,,,Public,,2020,,1000000,3,3,-2,,,,,,,,932029.6711,495187.5658,12544751.67,23611418.33,1.333333333,"Finance, FinTech, Ethereum",Financial Services & Fintech,Yes
London Stock Exchange Group,https://www.crunchbase.com/organization/london-stock-exchange-group,$1B to $10B,"Consulting, Data Management, Database, Finance, Financial Services, Infrastructure, Stock Exchanges","2,425","London Stock Exchange Group is a financial markets infrastructure that provides and delivers financial data, analytics, and news.",Active,2007,For Profit,2001,https://www.twitter.com/lsegplc,392,,11,https://www.linkedin.com/company/london-stock-exchange-group,,https://www.facebook.com/londonstockexchangegroup/?locale=en_GB,Venture Capital,1,irinfo-r@lseg.com,,"London, England, United Kingdom",+44 20 7797 1000,"London Stock Exchange Group is a financial markets infrastructure that provides and delivers financial data, analytics, and news.  Its diversified global business focuses on capital formation, intellectual property and risk, and balance sheet management. LSEG operates an open-access model, offering choice and partnership to customers across all of its businesses. The Group can trace its history back to 1698.",2,http://www.lseg.com,"Data and Analytics, Financial Services, Lending and Investments, Other, Professional Services, Software",2,Post-IPO Secondary,10001,IPO,,2023,,3,,2869308010,,,8240153443,Made Acquisitions,1,,,11,,,Public,Growing,2001,,5500000000,-6,-6,-22,,,,,,,,823932.951,286902.1108,,,,"Financial Services, Infrastructure, Stock Exchanges",Financial Services & Fintech,Yes
Sea,https://www.crunchbase.com/organization/garena,$10M to $50M,"E-Commerce, Messaging, Mobile, Payments","2,617","Sea runs Shopee for e-commerce, Garena in gaming, and SeaMoney for digital payments in Southeast Asia & Taiwan.",Active,2009,For Profit,2017,https://twitter.com/seagrp,104,Exited Unicorn,12,https://www.linkedin.com/company/seagrp,,https://www.facebook.com/pg/SEA-GROUP-149916485746387,,3,media@seagroup.com,,"Singapore, Central Region, Singapore",65 6270 8100,"Sea is a consumer internet company. The company's mission is to improve the lives of consumers and small businesses in the region with technology. The company's businesses include Shopee, Garena, and SeaMoney.",3,https://www.sea.com,"Commerce and Shopping, Financial Services, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Payments",3,Post-IPO Equity,7501,IPO,3,2021,Post-IPO Equity,10,4888000000,3500000000,3500000000,6147000000,8647000000,Made Acquisitions,4,,,3,,884000000,Public,,2017,5484292126,30000000,8,8,-4,1.396571429,1.396571429,0.565282757,0.795184643,0.252571429,0.252571429,0.102231988,1152779.629,466604.4527,437500000,1080875000,1.25,"Payments, E-Commerce, Mobile",Financial Services & Fintech,Yes
Root Insurance,https://www.crunchbase.com/organization/rootinsurance,$100M to $500M,"Auto Insurance, Automotive, Insurance, InsurTech, Property Insurance","2,921","Root Insurance is a property casualty insurtech that offers personalized, affordable coverage in an app.",Active,2015,For Profit,2020,https://twitter.com/joinroot,71,Exited Unicorn,,https://www.linkedin.com/showcase/root-insurance-company,,https://www.facebook.com/rootinsurance/,,1,help@joinroot.com,,"Columbus, Ohio, United States",866-980-9431,"Root Insurance is a property-casualty insurtech that offers personalized, affordable coverage in an app. Using technology in smartphones to measure driving behavior such as braking, speed of turns, driving times, and route regularity, Root determines who is a safe driver and who isn't. By only insuring safe drivers, Root can offer more affordable car insurance rates. Root also offers hassle-free and affordable app-based renters insurance, providing coverage that’s easy to understand and is personalized around real consumer needs.",,https://joinroot.com,"Financial Services, Transportation",,Post-IPO Debt,751,IPO,3,2022,Series E,6,6732000000,300000000,350000000,527500000,827500000,,7,,,,,724410000,Public,Growing,2020,7153400309,300000000,5,5,-2,22.44,19.23428571,8.135347432,12.76208531,2.4147,2.069742857,0.87541994,1101864.181,399467.3768,60000000,165500000,1.2,"Property Insurance, InsurTech, Insurance",Financial Services & Fintech,Yes
Virtu Financial,https://www.crunchbase.com/organization/virtu-financial,$1B to $10B,"Analytics, Cryptocurrency, Finance, Financial Services, FinTech","3,665",Virtu is the global leader in electronic market making.,Active,2008,For Profit,2015,https://twitter.com/virtufinancial,200,,2,https://www.linkedin.com/company/virtu-financial/,,,,1,info@virtu.com,,"New York, New York, United States",+1.646.682.6000,"Virtu is the global leader in electronic market making. They actively make markets across a broad range of asset classes including equities, foreign exchange, commodities, options and fixed income, providing two-sided liquidity on over two hundred market centers around the world. As market makers, they lower costs for both retail and institutional investors by supplying competitive bids and offers, without seeking to take on risky directional positions. Virtu's liquidity provision plays a vital role in the overall health and efficiency of the global financial markets, especially in times of market turbulence.",2,https://www.virtu.com/,"Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Payments, Software",2,Post-IPO Debt,751,IPO,1,2024,Post-IPO Equity,2,604200000,500000000,750000000,750000000,1250000000,Made Acquisitions,1,,,2,,314000000,Public,,2015,701075949.4,5500000000,7,7,-9,1.2084,0.8056,0.48336,0.8056,0.628,0.418666667,0.2512,1664447.403,665778.9614,71428571.43,178571428.6,0.285714286,"Financial Services, Finance, FinTech",Financial Services & Fintech,Yes
Hercules Capital,https://www.crunchbase.com/organization/herculescapital,$100M to $500M,"Commercial Lending, Financial Services, Lending, Venture Capital","4,435",Hercules Capital offers clients an alternative investment vehicle through which they can have access to venture capital investments.,Active,2003,For Profit,2012,https://twitter.com/htgcinc,212,Crunchbase Venture Program,118,https://www.linkedin.com/company/hercules-capital,,,Venture Debt,,info@htgc.com,"Debt, Late Stage Venture, Post-Ipo, Venture","San Mateo, California, United States",650 289 3060,"Hercules is a non-bank lender to venture capital-backed companies at all stages of development in a broadly diversified variety of technology, life sciences, and sustainable and renewable technology industries. With over a decade of experience in venture debt, Hercules is uniquely positioned to create innovative financing solutions that perfectly fit within a company's existing capital structure and map to its business objectives. Recognized as the industry leader, Hercules understands the flexibility these types of companies need and has the experience to work closely with them, even through challenging times, to help them reach critical milestones. Hercules' deep sector expertise, geographic presence, and strong capital base have made Hercules the lender of choice for more than 480 innovative companies.",152,http://www.htgc.com,"Financial Services, Lending and Investments",152,Post-IPO Equity,176,IPO,3,2023,Post-IPO Equity,2,,,,,6500000,Made Acquisitions,,,,1,,,Public,,2012,,300000000,9,9,-11,,,,,,,,36931.81818,,,722222.2222,0.222222222,"Venture Capital, Lending, Financial Services",Financial Services & Fintech,Yes
Brookfield Renewable Partners,https://www.crunchbase.com/organization/brookfield-renewable-energy-partners,$1B to $10B,"Asset Management, Clean Energy, Renewable Energy","4,601","Brookfield Renewable Partners owns and operates assets in the property, renewable power, infrastructure and private equity sectors.",Active,2011,For Profit,2013,,128,,4,https://www.linkedin.com/company/brookfield-renewable,,,Private Equity Firm,,contacto@brookfieldenergia.com,,"Hamilton, Ontario, Canada",+1 888-327-2722,"Brookfield Renewable Partners has over a 100-year history of owning and operating assets with a focus on property, renewable power, infrastructure and private equity. Brookfield Renewable Energy Partners has entered into a Master Services Agreement with a subsidiary of Brookfield Asset Management, a global alternative asset manager with approximately $175 billion in assets under management, 23,000 operating employees, and 500 investment professionals.",2,https://www.bep.brookfield.com,"Energy, Financial Services, Sustainability",2,Post-IPO Debt,3001,IPO,,2024,,2,,299598537,,,596048769,Made Acquisitions,,,,8,,500000000,Public,Growing,2013,,5500000000,2,2,-11,,,,,1.668900005,,0.838857533,198616.7174,99832.90137,149799268.5,298024384.5,1,"Asset Management, Clean Energy, Renewable Energy",Financial Services & Fintech,Yes
The INX Digital Company,https://www.crunchbase.com/organization/inx-limited,$1M to $10M,"Blockchain, Cryptocurrency, Financial Services, FinTech, Trading Platform","5,098",INX owns regulated trading platforms for digital securities and cryptocurrencies.,Active,2017,For Profit,2022,https://twitter.com/INX_Group,33,,,https://www.linkedin.com/company/inxlimited/,,https://www.facebook.com/INXLtd,,,support@inx.co,,"Gibraltar, Gibraltar, Gibraltar",,"INX owns regulated trading platforms for digital securities and cryptocurrencies, combining traditional markets expertise and an innovative fintech approach. INX's vision is to be the preferred global regulated hub for digital assets on the blockchain. INX's overall mission is to bring communities together and empower them with financial innovation.",,https://www.inx.co/,"Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Other, Payments, Software",,Post-IPO Equity,76,IPO,3,2023,Post-IPO Equity,5,125000000,5250000,5250000,125825009,125825009,Made Acquisitions,2,,,4,,30000000,Public,Growing,2022,128552730,5500000,5,5,-1,23.80952381,23.80952381,0.993443203,0.993443203,5.714285714,5.714285714,0.238426369,1655592.224,69078.94737,1050000,25165001.8,1,"Trading Platform, Financial Services, FinTech",Financial Services & Fintech,Yes
Enova International,https://www.crunchbase.com/organization/enova,$1B to $10B,"Finance, Financial Services","5,187","Enova provides reliable, real-time financial options for people facing immediate cash demands.",Active,2004,For Profit,2014,http://twitter.com/Enova,60,,,http://www.linkedin.com/company/enova-international,,http://www.facebook.com/Enova,,,social@enova.com,,"Chicago, Illinois, United States",312-568-4200,"Enova provides reliable, real-time financial options for everyday, hardworking people facing immediate cash demands. As a global financial resource for under-served consumers, they operate a portfolio of businesses that offer a variety of online credit products and services to more than one million customers in the United States, United Kingdom, Australia and Canada.",,http://www.enova.com,Financial Services,,Post-IPO Debt,751,IPO,2,2023,,1,,400000000,,,400000000,Made Acquisitions,,,,3,,,Public,Growing,2014,,5500000000,10,10,-9,,,,,,,,532623.1691,532623.1691,40000000,40000000,0.1,"Finance, Financial Services",Financial Services & Fintech,Yes
